Municipios;Sexo;Periodo;Total
36008 Cangas;Total;2005;24849
36008 Cangas;Total;2004;24643
36008 Cangas;Total;2003;24458
36008 Cangas;Total;2002;24147
36008 Cangas;Total;2001;23756
36008 Cangas;Total;2000;23442
36008 Cangas;Total;1999;23413
36008 Cangas;Total;1998;23235
36008 Cangas;Total;1997;
36008 Cangas;Total;1996;23231
36008 Cangas;Hombres;2020;13195
36008 Cangas;Hombres;2019;13135
36008 Cangas;Hombres;2018;13078
36008 Cangas;Hombres;2017;13080
36008 Cangas;Hombres;2016;13127
36008 Cangas;Hombres;2015;13081
36008 Cangas;Hombres;2014;13099
36008 Cangas;Hombres;2013;12935
36008 Cangas;Hombres;2012;12918
36008 Cangas;Hombres;2011;12954
36008 Cangas;Hombres;2010;12864
36008 Cangas;Hombres;2009;12753
36008 Cangas;Hombres;2008;12681
36008 Cangas;Hombres;2007;12635
36008 Cangas;Hombres;2006;12533
36008 Cangas;Hombres;2005;12330
36008 Cangas;Hombres;2004;12237
